"","year","month","carrier_name","total_delay","delay_carrier","delay_weather","delay_nas","delay_security","delay_late"
"188",2004,5,"AirTran Airways Corporation",4243.47368421053,495,28,1729,0,1991
"189",2004,5,"Alaska Airlines Inc.",2253.44444444444,875,19,455,10,893
"190",2004,5,"America West Airlines Inc.",2656.24,1000,32,943,11,670
"191",2004,5,"American Airlines Inc.",9510.91358024691,1937,551,4500,7,2516
"192",2004,5,"American Eagle Airlines Inc.",6001.76923076923,1209,303,2180,4,2307
"193",2004,5,"ATA Airlines d/b/a ATA",3280.92307692308,499,36,1566,1,1179
"194",2004,5,"Atlantic Coast Airlines",5899.05194805195,879,227,1714,5,3075
"195",2004,5,"Atlantic Southeast Airlines",2163.45,634,513,872,1,142
"196",2004,5,"Comair Inc.",2976.03636363636,1078,1095,758,3,43
"197",2004,5,"Continental Air Lines Inc.",4927.84810126582,715,367,2686,7,1151
"198",2004,5,"Delta Air Lines Inc.",7130.57142857143,1689,231,3082,2,2126
"199",2004,5,"ExpressJet Airlines Inc.",4065.64864864865,604,311,1981,3,1167
"200",2004,5,"Hawaiian Airlines Inc.",507.933333333333,438,0,7,3,60
"201",2004,5,"JetBlue Airways",2113.12,379,45,970,28,692
"202",2004,5,"SkyWest Airlines Inc.",1901.27184466019,856,124,595,15,311
"203",2004,5,"Southwest Airlines Co.",12298.3666666667,2298,697,1883,31,7390
"204",2004,5,"United Air Lines Inc.",10119.2307692308,1691,332,4728,0,3367
"205",2004,5,"US Airways Inc.",5221.16666666667,824,289,2200,0,1908
"206",2004,6,"AirTran Airways Corporation",6064.1,733,43,2459,0,2830
"207",2004,6,"Alaska Airlines Inc.",3562.52173913043,1475,23,391,26,1647
"208",2004,6,"America West Airlines Inc.",3796.61538461538,1586,42,1074,19,1075
"209",2004,6,"American Airlines Inc.",12730.9642857143,2687,1569,4316,15,4144
"210",2004,6,"American Eagle Airlines Inc.",6486.4,1532,471,1805,4,2675
"211",2004,6,"ATA Airlines d/b/a ATA",2690.51851851852,395,19,1290,13,975
"212",2004,6,"Atlantic Coast Airlines",4078.29113924051,544,90,926,0,2518
"213",2004,6,"Atlantic Southeast Airlines",3804.59433962264,912,1142,1512,4,234
"214",2004,6,"Comair Inc.",3216.66972477064,1191,1111,842,3,70
"215",2004,6,"Continental Air Lines Inc.",6086.17721518987,1002,416,3026,14,1628
"216",2004,6,"Delta Air Lines Inc.",9756.23469387755,2254,324,4102,3,3072
"217",2004,6,"ExpressJet Airlines Inc.",4535.04310344828,704,297,2126,17,1391
"218",2004,6,"Hawaiian Airlines Inc.",660.4,525,0,7,13,116
"219",2004,6,"JetBlue Airways",2047.07692307692,372,161,732,42,741
"220",2004,6,"Northwest Airlines Inc.",4451.85087719298,1792,421,1440,9,790
"221",2004,6,"SkyWest Airlines Inc.",2575.30973451327,1038,312,708,9,509
"222",2004,6,"Southwest Airlines Co.",15421.8333333333,2749,667,2305,54,9648
"223",2004,6,"United Air Lines Inc.",7476.17721518987,1729,208,2916,0,2623
